<built-in function id>,id,score
0,18142.0,
1,18143.0,
2,18144.0,
3,18145.0,
4,18146.0,
5,18147.0,
6,18148.0,
7,18149.0,
8,18150.0,
9,18151.0,
10,18152.0,
11,18153.0,
12,18154.0,
13,18155.0,
14,18156.0,
15,18157.0,
16,18158.0,
17,18159.0,
18,18160.0,
19,18161.0,
20,18162.0,
21,18163.0,
22,18164.0,
23,18165.0,
24,18166.0,
25,18167.0,
26,18168.0,
27,18169.0,
28,18170.0,
29,18171.0,
30,18172.0,
31,18173.0,
32,18174.0,
33,18175.0,
34,18176.0,
35,18177.0,
36,18178.0,
37,18179.0,
38,18180.0,
39,18181.0,
40,18182.0,
41,18183.0,
42,18184.0,
43,18185.0,
44,18186.0,
45,18187.0,
46,18188.0,
47,18189.0,
48,18190.0,
49,18191.0,
50,18192.0,
51,18193.0,
52,18194.0,
53,18195.0,
54,18196.0,
55,18197.0,
56,18198.0,
57,18199.0,
58,18200.0,
59,18201.0,
60,18202.0,
61,18203.0,
62,18204.0,
63,18205.0,
64,18206.0,
65,18207.0,
66,18208.0,
67,18209.0,
68,18210.0,
69,18211.0,
70,18212.0,
71,18213.0,
72,18214.0,
73,18215.0,
74,18216.0,
75,18217.0,
76,18218.0,
77,18219.0,
78,18220.0,
79,18221.0,
80,18222.0,
81,18223.0,
82,18224.0,
83,18225.0,
84,18226.0,
85,18227.0,
86,18228.0,
87,18229.0,
88,18230.0,
89,18231.0,
90,18232.0,
91,18233.0,
92,18234.0,
93,18235.0,
94,18236.0,
95,18237.0,
96,18238.0,
97,18239.0,
98,18240.0,
99,18241.0,
100,18242.0,
101,18243.0,
102,18244.0,
103,18245.0,
104,18246.0,
105,18247.0,
106,18248.0,
107,18249.0,
108,18250.0,
109,18251.0,
110,18252.0,
111,18253.0,
112,18254.0,
113,18255.0,
114,18256.0,
115,18257.0,
116,18258.0,
117,18259.0,
118,18260.0,
119,18261.0,
120,18262.0,
121,18263.0,
122,18264.0,
123,18265.0,
124,18266.0,
125,18267.0,
126,18268.0,
127,18269.0,
128,18270.0,
