<built-in function id>,score
18142,1.0
18143,1.0
18144,1.0
18145,1.0
18146,1.0
18147,0.0
18148,0.0
18149,0.0
18150,0.0
18151,0.0
18152,1.0
18153,1.0
18154,1.0
18155,0.5
18156,1.0
18157,0.5
18158,1.0
18159,1.0
18160,1.0
18161,1.0
18162,1.0
18163,1.0
18164,1.0
18165,1.0
18166,1.0
18167,1.0
18168,1.0
18169,1.0
18170,1.0
18171,0.5
18172,0.5
18173,0.0
18174,1.0
18175,1.0
18176,1.0
18177,0.0
18178,1.0
18179,1.0
18180,1.0
18181,1.0
18182,0.0
18183,1.0
18184,1.0
18185,1.0
18186,1.0
18187,1.0
18188,0.0
18189,0.5
18190,0.5
18191,1.0
18192,1.0
18193,1.0
18194,1.0
18195,1.0
18196,1.0
18197,1.0
18198,0.5
18199,1.0
18200,1.0
18201,1.0
18202,1.0
18203,0.0
18204,1.0
18205,0.0
18206,1.0
18207,1.0
18208,0.5
18209,1.0
18210,1.0
18211,1.0
18212,1.0
18213,1.0
18214,0.5
18215,0.0
18216,1.0
18217,1.0
18218,1.0
18219,1.0
18220,1.0
18221,1.0
18222,1.0
18223,0.5
18224,1.0
18225,1.0
18226,1.0
18227,0.5
18228,1.0
18229,0.5
18230,1.0
18231,0.5
18232,1.0
18233,0.0
18234,1.0
18235,1.0
18236,1.0
18237,1.0
18238,0.5
18239,1.0
18240,1.0
18241,1.0
18242,1.0
18243,1.0
18244,1.0
18245,1.0
18246,1.0
18247,0.0
18248,1.0
18249,1.0
18250,1.0
18251,0.5
18252,1.0
18253,0.5
18254,1.0
18255,0.5
18256,1.0
18257,1.0
18258,0.5
18259,1.0
18260,1.0
18261,1.0
18262,1.0
18263,1.0
18264,1.0
18265,1.0
18266,0.0
18267,1.0
18268,1.0
18269,0.5
18270,1.0
18271,1.0
18272,1.0
18273,1.0
18274,1.0
18275,1.0
18276,1.0
18277,1.0
18278,1.0
18279,1.0
18280,1.0
18281,0.5
18282,1.0
18283,0.0
18284,1.0
18285,1.0
18286,1.0
18287,1.0
18288,1.0
18289,1.0
18290,1.0
18291,0.5
18292,1.0
18293,0.0
18294,1.0
18295,1.0
18296,1.0
18297,1.0
18298,1.0
18299,1.0
18300,0.5
18301,0.5
18302,0.5
18303,1.0
18304,1.0
18305,0.5
18306,1.0
18307,1.0
18308,1.0
18309,0.5
18310,0.5
18311,1.0
18312,1.0
18313,1.0
18314,1.0
18315,0.5
18316,1.0
18317,1.0
18318,1.0
18319,1.0
18320,0.0
18321,0.5
18322,1.0
18323,1.0
18324,0.5
18325,1.0
18326,1.0
18327,1.0
18328,0.0
18329,0.5
18330,1.0
18331,1.0
18332,1.0
18333,1.0
18334,1.0
18335,1.0
18336,1.0
18337,1.0
18338,1.0
18339,1.0
18340,1.0
18341,1.0
18342,1.0
18343,1.0
18344,1.0
18345,1.0
18346,1.0
18347,1.0
18348,1.0
18349,1.0
18350,0.5
18351,1.0
18352,1.0
18353,1.0
18354,1.0
18355,0.5
18356,1.0
18357,1.0
18358,1.0
18359,0.5
18360,1.0
18361,1.0
18362,1.0
18363,0.5
18364,0.0
18365,1.0
18366,1.0
18367,1.0
18368,1.0
18369,1.0
18370,1.0
18371,1.0
18372,1.0
18373,1.0
18374,1.0
18375,1.0
18376,1.0
18377,1.0
18378,1.0
18379,0.5
18380,1.0
18381,1.0
18382,1.0
18383,1.0
18384,1.0
18385,0.5
18386,0.5
18387,1.0
18388,0.5
18389,0.0
18390,1.0
18391,1.0
18392,1.0
18393,0.5
18394,0.5
18395,1.0
18396,1.0
18397,1.0
18398,0.5
18399,0.5
18400,1.0
18401,1.0
18402,1.0
18403,1.0
18404,1.0
18405,1.0
18406,1.0
18407,1.0
18408,1.0
18409,1.0
18410,1.0
18411,1.0
18412,0.5
18413,1.0
18414,1.0
18415,1.0
18416,1.0
18417,1.0
18418,1.0
18419,0.5
18420,1.0
18421,0.5
18422,1.0
18423,1.0
18424,1.0
18425,1.0
18426,0.5
18427,1.0
18428,1.0
18429,1.0
18430,1.0
18431,1.0
18432,1.0
18433,1.0
18434,0.0
18435,1.0
18436,0.5
18437,1.0
18438,1.0
18439,1.0
18440,1.0
18441,1.0
18442,1.0
18443,1.0
18444,1.0
18445,1.0
18446,1.0
18447,1.0
18448,1.0
18449,1.0
18450,1.0
18451,1.0
18452,1.0
18453,1.0
18454,0.5
18455,1.0
18456,1.0
18457,0.5
18458,1.0
18459,1.0
18460,1.0
18461,0.5
18462,1.0
18463,1.0
18464,1.0
18465,1.0
18466,1.0
18467,0.5
18468,1.0
18469,0.0
18470,1.0
18471,1.0
18472,1.0
18473,0.0
18474,1.0
18475,0.5
18476,1.0
18477,0.5
18478,1.0
18479,0.5
18480,0.5
18481,1.0
18482,1.0
18483,0.5
18484,0.5
18485,1.0
18486,1.0
18487,1.0
18488,1.0
18489,1.0
18490,1.0
18491,0.0
18492,1.0
18493,0.5
18494,1.0
18495,1.0
18496,0.0
18497,1.0
18498,1.0
18499,1.0
18500,1.0
18501,1.0
18502,1.0
18503,1.0
18504,1.0
18505,1.0
18506,1.0
18507,1.0
18508,0.0
18509,0.5
18510,1.0
18511,1.0
18512,0.5
18513,0.5
18514,1.0
18515,1.0
18516,0.5
18517,0.5
18518,1.0
18519,1.0
18520,1.0
18521,0.5
18522,1.0
18523,1.0
18524,1.0
18525,1.0
18526,1.0
18527,1.0
18528,1.0
18529,1.0
18530,1.0
18531,1.0
18532,1.0
18533,0.5
18534,1.0
18535,0.5
18536,1.0
18537,0.0
18538,1.0
18539,0.5
18540,1.0
18541,1.0
18542,1.0
18543,1.0
18544,1.0
18545,0.0
18546,1.0
18547,1.0
18548,1.0
18549,1.0
18550,1.0
18551,1.0
18552,0.0
18553,1.0
18554,1.0
18555,1.0
18556,1.0
18557,0.0
18558,0.0
18559,1.0
18560,1.0
18561,1.0
18562,1.0
18563,1.0
18564,1.0
18565,1.0
18566,1.0
18567,0.5
18568,1.0
18569,0.5
18570,1.0
18571,1.0
18572,1.0
18573,1.0
18574,1.0
18575,1.0
18576,0.5
18577,0.5
18578,1.0
18579,1.0
18580,1.0
18581,1.0
18582,0.5
18583,1.0
18584,1.0
18585,0.5
18586,0.0
18587,1.0
18588,0.5
18589,1.0
18590,1.0
18591,1.0
18592,1.0
18593,0.0
18594,1.0
18595,1.0
18596,1.0
18597,1.0
18598,1.0
18599,0.5
18600,1.0
18601,1.0
18602,0.5
18603,1.0
18604,1.0
18605,1.0
18606,1.0
18607,1.0
18608,1.0
18609,1.0
18610,1.0
18611,1.0
18612,0.5
18613,1.0
18614,1.0
18615,1.0
18616,1.0
18617,0.5
18618,0.5
18619,1.0
18620,1.0
18621,1.0
18622,1.0
18623,1.0
18624,1.0
18625,1.0
18626,1.0
18627,1.0
18628,1.0
18629,1.0
18630,1.0
18631,0.5
18632,1.0
18633,1.0
18634,1.0
18635,0.5
18636,1.0
18637,1.0
18638,0.5
18639,0.5
18640,1.0
18641,0.0
18642,1.0
18643,1.0
18644,1.0
18645,0.5
18646,0.5
18647,0.5
18648,1.0
18649,1.0
18650,0.5
18651,1.0
18652,1.0
18653,1.0
18654,1.0
18655,1.0
18656,1.0
18657,1.0
18658,1.0
18659,1.0
18660,0.0
18661,1.0
18662,0.0
18663,1.0
18664,1.0
18665,0.5
18666,1.0
18667,0.0
18668,1.0
18669,0.5
18670,1.0
18671,0.5
18672,0.0
18673,0.5
18674,1.0
18675,1.0
18676,1.0
18677,1.0
18678,1.0
18679,1.0
18680,1.0
18681,1.0
18682,0.5
18683,0.5
18684,0.5
18685,1.0
18686,1.0
18687,1.0
18688,0.0
18689,1.0
18690,0.5
18691,1.0
18692,1.0
18693,1.0
18694,1.0
18695,1.0
18696,1.0
18697,1.0
18698,1.0
18699,1.0
18700,1.0
18701,1.0
18702,0.5
18703,0.5
18704,1.0
18705,1.0
18706,0.5
18707,1.0
18708,1.0
18709,1.0
18710,1.0
18711,1.0
18712,1.0
18713,1.0
18714,1.0
18715,0.5
18716,1.0
18717,1.0
18718,1.0
18719,1.0
18720,1.0
18721,1.0
18722,1.0
18723,0.0
18724,0.5
18725,1.0
18726,1.0
18727,1.0
18728,1.0
18729,1.0
18730,1.0
18731,1.0
18732,1.0
18733,1.0
18734,1.0
18735,0.5
18736,1.0
18737,1.0
18738,1.0
18739,1.0
18740,1.0
18741,0.0
18742,1.0
18743,1.0
18744,1.0
18745,1.0
18746,0.5
18747,1.0
18748,1.0
18749,1.0
18750,0.0
18751,0.5
18752,0.5
18753,1.0
18754,1.0
18755,1.0
18756,1.0
18757,1.0
18758,1.0
18759,1.0
18760,1.0
18761,1.0
18762,0.0
18763,1.0
18764,0.5
18765,1.0
18766,0.5
18767,1.0
18768,1.0
18769,1.0
18770,1.0
18771,0.5
18772,1.0
18773,1.0
18774,1.0
18775,1.0
18776,1.0
18777,1.0
18778,1.0
18779,1.0
18780,1.0
18781,0.5
18782,1.0
